algorithm,warm_start_type,task_id,experiment_id,trial_index,id,experiment_id,status,suggested,reserved,completed,objective,x0,x1,x2,best,best_id,name,order,task_correlation,warm_start_type
tpe,cold,0,14,15,7fd36d939976e0aa77d311276148d647,14,completed,2021-06-02 13:14:47.784776,2021-06-02 13:14:48.157187,2021-06-02 13:14:48.165610,188.15,-9,-45,41,82.75,608ff092114cb5b5a8da3fba9c882ca3,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_1_algo0_cold-v1,15,0.0,cold
tpe,cold,0,14,16,c8a566282a5fa62f8615a75f523afb32,14,completed,2021-06-02 13:14:47.784949,2021-06-02 13:14:48.181681,2021-06-02 13:14:48.190265,384.95000000000005,59,-3,63,82.75,608ff092114cb5b5a8da3fba9c882ca3,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_1_algo0_cold-v1,16,0.0,cold
tpe,cold,0,14,17,b89f1ce874a0138a5dd463bb6d59f44c,14,completed,2021-06-02 13:14:47.785122,2021-06-02 13:14:48.206350,2021-06-02 13:14:48.214744,786.6500000000001,57,92,-62,82.75,608ff092114cb5b5a8da3fba9c882ca3,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_1_algo0_cold-v1,17,0.0,cold
tpe,cold,0,14,18,c2fbfd3bd0c1329f8b892334d7455dc3,14,completed,2021-06-02 13:14:47.785293,2021-06-02 13:14:48.230791,2021-06-02 13:14:48.239223,74.6,-37,-15,-2,74.6,c2fbfd3bd0c1329f8b892334d7455dc3,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_1_algo0_cold-v1,18,0.0,cold
tpe,cold,0,14,19,bf57075df8ebf2bb76b05dfedad1e229,14,completed,2021-06-02 13:14:47.785467,2021-06-02 13:14:48.255270,2021-06-02 13:14:48.263664,933.4000000000001,-93,100,-3,74.6,c2fbfd3bd0c1329f8b892334d7455dc3,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_1_algo0_cold-v1,19,0.0,cold
tpe,cold,0,14,20,a2435f6e579379c9d73e2b4ebf16f83c,14,completed,2021-06-02 13:14:48.311062,2021-06-02 13:14:48.318271,2021-06-02 13:14:48.326794,173.8,-9,-59,-8,74.6,c2fbfd3bd0c1329f8b892334d7455dc3,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_1_algo0_cold-v1,20,0.0,cold
tpe,cold,0,14,21,224eb81341a15710f004d820ec65d4a1,14,completed,2021-06-02 13:14:48.360587,2021-06-02 13:14:48.367893,2021-06-02 13:14:48.376544,36.400000000000006,-23,-15,-8,36.400000000000006,224eb81341a15710f004d820ec65d4a1,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_1_algo0_cold-v1,21,0.0,cold
tpe,cold,0,14,22,4736919e69ae565b8523cbcb4948b865,14,completed,2021-06-02 13:14:48.410876,2021-06-02 13:14:48.418014,2021-06-02 13:14:48.426614,183.85000000000002,-60,-15,-2,36.400000000000006,224eb81341a15710f004d820ec65d4a1,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_1_algo0_cold-v1,22,0.0,cold
tpe,cold,0,14,23,5bce3ce99fffa6a6e54da11441c4ce24,14,completed,2021-06-02 13:14:48.460704,2021-06-02 13:14:48.467809,2021-06-02 13:14:48.476398,4.0,-9,-5,-2,4.0,5bce3ce99fffa6a6e54da11441c4ce24,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_1_algo0_cold-v1,23,0.0,cold
tpe,cold,0,14,24,2baca7fce15889dc95df4632864cd0d5,14,completed,2021-06-02 13:14:48.510911,2021-06-02 13:14:48.518099,2021-06-02 13:14:48.526730,54.25000000000001,18,-15,22,4.0,5bce3ce99fffa6a6e54da11441c4ce24,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_1_algo0_cold-v1,24,0.0,cold
tpe,cold,0,17,0,2900679093c0fc9d62be77f5d8621c90,17,completed,2021-06-02 13:14:53.546729,2021-06-02 13:14:53.559206,2021-06-02 13:14:53.570456,996.9000000000001,60,-88,92,996.9000000000001,2900679093c0fc9d62be77f5d8621c90,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_2_algo0_cold-v1,0,0.0,cold
tpe,cold,0,17,1,6585be49965428dcb19c0ee54c5b5726,17,completed,2021-06-02 13:14:53.546930,2021-06-02 13:14:53.590572,2021-06-02 13:14:53.601626,617.7500000000001,45,-97,-33,617.7500000000001,6585be49965428dcb19c0ee54c5b5726,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_2_algo0_cold-v1,1,0.0,cold
tpe,cold,0,17,2,72befa79dbc9878ab946176791fae042,17,completed,2021-06-02 13:14:53.547109,2021-06-02 13:14:53.621373,2021-06-02 13:14:53.631978,684.5000000000001,-52,-92,-54,617.7500000000001,6585be49965428dcb19c0ee54c5b5726,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_2_algo0_cold-v1,2,0.0,cold
tpe,cold,0,17,3,08358e970684c0bf0daa539dbc05bcee,17,completed,2021-06-02 13:14:53.547287,2021-06-02 13:14:53.651362,2021-06-02 13:14:53.662102,691.6500000000001,-58,-92,-49,617.7500000000001,6585be49965428dcb19c0ee54c5b5726,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_2_algo0_cold-v1,3,0.0,cold
tpe,cold,0,17,4,1633db890f8be16555e3209d47485ad6,17,completed,2021-06-02 13:14:53.547475,2021-06-02 13:14:53.681909,2021-06-02 13:14:53.692447,80.25,-35,-16,-16,80.25,1633db890f8be16555e3209d47485ad6,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_2_algo0_cold-v1,4,0.0,cold
tpe,cold,0,17,5,5d12e4c47c09280c528a6edbcd6b0d2a,17,completed,2021-06-02 13:14:53.547649,2021-06-02 13:14:53.712169,2021-06-02 13:14:53.722724,487.25000000000006,48,80,27,80.25,1633db890f8be16555e3209d47485ad6,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_2_algo0_cold-v1,5,0.0,cold
tpe,cold,0,17,6,0bb89d73bc45085b76fb1558b0326c62,17,completed,2021-06-02 13:14:53.547824,2021-06-02 13:14:53.742501,2021-06-02 13:14:53.753127,485.05000000000007,-3,-54,82,80.25,1633db890f8be16555e3209d47485ad6,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_2_algo0_cold-v1,6,0.0,cold
tpe,cold,0,17,7,b4863cb35ef30e5a9408ef7ec9ad15d9,17,completed,2021-06-02 13:14:53.547997,2021-06-02 13:14:53.772882,2021-06-02 13:14:53.783565,760.0,83,-85,-34,80.25,1633db890f8be16555e3209d47485ad6,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_2_algo0_cold-v1,7,0.0,cold
tpe,cold,0,17,8,8deb54c88e5f3d744aa67f31f8fad3fb,17,completed,2021-06-02 13:14:53.548171,2021-06-02 13:14:53.803409,2021-06-02 13:14:53.813960,839.6500000000001,-96,-38,-81,80.25,1633db890f8be16555e3209d47485ad6,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_2_algo0_cold-v1,8,0.0,cold
tpe,cold,0,17,9,2cb15fc8333431590382d7769bfa1542,17,completed,2021-06-02 13:14:53.548346,2021-06-02 13:14:53.833992,2021-06-02 13:14:53.844892,721.0000000000001,-53,73,-80,80.25,1633db890f8be16555e3209d47485ad6,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_2_algo0_cold-v1,9,0.0,cold
tpe,cold,0,17,10,b5caff2c16e5d069da8ff22ceedf3645,17,completed,2021-06-02 13:14:53.548525,2021-06-02 13:14:53.864773,2021-06-02 13:14:53.875305,62.050000000000004,30,-6,15,62.050000000000004,b5caff2c16e5d069da8ff22ceedf3645,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_2_algo0_cold-v1,10,0.0,cold
tpe,cold,0,17,11,c8b3966d662387a8919ed49927faec14,17,completed,2021-06-02 13:14:53.548700,2021-06-02 13:14:53.895113,2021-06-02 13:14:53.905851,734.45,51,68,-86,62.050000000000004,b5caff2c16e5d069da8ff22ceedf3645,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_2_algo0_cold-v1,11,0.0,cold
tpe,cold,0,17,12,f8bd4539927b2b066319cad9c9cf8bb8,17,completed,2021-06-02 13:14:53.548874,2021-06-02 13:14:53.925509,2021-06-02 13:14:53.935921,175.35,11,-41,41,62.050000000000004,b5caff2c16e5d069da8ff22ceedf3645,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_2_algo0_cold-v1,12,0.0,cold
tpe,cold,0,17,13,13ac01efad2438867f0e16be4edcd242,17,completed,2021-06-02 13:14:53.549050,2021-06-02 13:14:53.955598,2021-06-02 13:14:53.966169,700.6000000000001,92,59,41,62.050000000000004,b5caff2c16e5d069da8ff22ceedf3645,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_2_algo0_cold-v1,13,0.0,cold
tpe,cold,0,17,14,067f440c164b876247cbbb3439be18e6,17,completed,2021-06-02 13:14:53.549225,2021-06-02 13:14:53.985994,2021-06-02 13:14:53.996494,313.00000000000006,43,30,57,62.050000000000004,b5caff2c16e5d069da8ff22ceedf3645,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_2_algo0_cold-v1,14,0.0,cold
tpe,cold,0,17,15,633bbe0f3b6b39648cacd3c1082dbaa0,17,completed,2021-06-02 13:14:53.549399,2021-06-02 13:14:54.016236,2021-06-02 13:14:54.026531,107.05,-10,44,-7,62.050000000000004,b5caff2c16e5d069da8ff22ceedf3645,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_2_algo0_cold-v1,15,0.0,cold
tpe,cold,0,17,16,544ae54a95a39d95a2bf9c222f611579,17,completed,2021-06-02 13:14:53.549582,2021-06-02 13:14:54.046208,2021-06-02 13:14:54.056993,825.6500000000001,67,-82,72,62.050000000000004,b5caff2c16e5d069da8ff22ceedf3645,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_2_algo0_cold-v1,16,0.0,cold
tpe,cold,0,17,17,9d29041f5f4b46d334ce97b94f917442,17,completed,2021-06-02 13:14:53.549756,2021-06-02 13:14:54.076643,2021-06-02 13:14:54.087307,404.00000000000006,49,-36,65,62.050000000000004,b5caff2c16e5d069da8ff22ceedf3645,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_2_algo0_cold-v1,17,0.0,cold
tpe,cold,0,17,18,89c07905e468dea905a21186e7ce45a5,17,completed,2021-06-02 13:14:53.549932,2021-06-02 13:14:54.106907,2021-06-02 13:14:54.117486,652.6500000000001,-62,56,-79,62.050000000000004,b5caff2c16e5d069da8ff22ceedf3645,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_2_algo0_cold-v1,18,0.0,cold
tpe,cold,0,17,19,c3201b5dfe4924766fc9a6ae1ee177f3,17,completed,2021-06-02 13:14:53.550110,2021-06-02 13:14:54.137316,2021-06-02 13:14:54.147964,10.25,-7,10,6,10.25,c3201b5dfe4924766fc9a6ae1ee177f3,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_2_algo0_cold-v1,19,0.0,cold
tpe,cold,0,17,20,d691f1ebc5f0f9f04851b492ad6913a3,17,completed,2021-06-02 13:14:54.201605,2021-06-02 13:14:54.210793,2021-06-02 13:14:54.221536,196.6,11,44,41,10.25,c3201b5dfe4924766fc9a6ae1ee177f3,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_2_algo0_cold-v1,20,0.0,cold
tpe,cold,0,17,21,30b66b203dc27989d4bcbe0796a41289,17,completed,2021-06-02 13:14:54.262217,2021-06-02 13:14:54.271361,2021-06-02 13:14:54.282018,193.45000000000002,-10,44,41,10.25,c3201b5dfe4924766fc9a6ae1ee177f3,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_2_algo0_cold-v1,21,0.0,cold
tpe,cold,0,17,22,d268d4381b5f29fd43c470d1b19f1132,17,completed,2021-06-02 13:14:54.322603,2021-06-02 13:14:54.331631,2021-06-02 13:14:54.342187,303.70000000000005,-10,44,-64,10.25,c3201b5dfe4924766fc9a6ae1ee177f3,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_2_algo0_cold-v1,22,0.0,cold
